lat,lon,类型,站名
31.42,102.04,水文站,大金
30.8728,101.9067,水文站,丹巴
29.92,102.24,水文站,泸定
29.2066,102.8714,水文站,毛头码
29.29,102.29,水文站,安顺场
29.5843,102.1391,水文站,大泥口
29.49,102.61,水文站,流沙河
28.99,102.78,水文站,岩润
29.246,102.3668,水文站,石棉
29.77,102.22,雨量站,兴隆
29.65,102.12,雨量站,磨西
29.44,102.16,雨量站,田湾
29.22,102.03,雨量站,洪坝
29.07,102.05,雨量站,湾坝
29.31,102.42,雨量站,丰乐
29.29,102.58,雨量站,晒经
29.65,102.45,雨量站,宜东
29.54,102.5,雨量站,双河
28.84,102.77,雨量站,斯觉
29.59,102.62,雨量站,清溪
29.4,102.73,雨量站,万里
28.5,102.65,雨量站,普雄
28.52,102.45,雨量站,南箐
28.64,102.51,雨量站,丁山
28.74,102.6,雨量站,乃托
28.85,102.57,雨量站,梅花
29.5167,102.55,雨量站,后域
28.8,102.87,雨量站,吉米
30.5,102.3,雨量站,桐林
30.37,102.28,水文站,金汤
31,102.35,水文站,小金
30.0561,101.9688,水文站,康定
31.99,102.04,水文站,足木足
32.21,101.61,水文站,日部
31.86,101.13,水文站,一林场
31.9,102.22,水文站,马尔康
31.81,101.65,水文站,绰斯甲
30.9,101.83,水文站,布科
29.2,103.15,水文站,红旗
30.82,101.77,水文站,东谷
29.26,103.2,水文站,沙坪
32.93,100.74,雨量站,班玛
32.69,100.94,雨量站,灯塔
32.9,101.71,雨量站,阿坝
32.22,101.83,雨量站,草登
32.45,100.81,雨量站,上杜柯
32.27,100.98,雨量站,壤塘
32.27,100.33,雨量站,色达
31.65,101.45,雨量站,俄热
31.75,101.7,雨量站,太阳河
32.01,102.62,雨量站,刷经寺
31.23,101.51,雨量站,丹东
31.07,101.57,雨量站,边尔
30.84,101.52,雨量站,沙冲
30.61,101.72,雨量站,牦牛
31.48,102.49,雨量站,抚边河
30.93,102.63,雨量站,达维
30.1766,101.9113,雨量站,雅拉
30.8,102.1,雨量站,窝底
29.39,102.09,雨量站,草科
29.02,103.18,雨量站,万坪
29.43,103.33,雨量站,龙池
29.37,103.09,雨量站,永胜
28.83,103.04,雨量站,勒乌
29.2885,103.3624,雨量站,毛坪
29.18,103.63,雨量站,茨竹坪
29.26,102.34,水文站,农场
30,101.95,雨量站,榆林
